,TimeStamp,SNR,RAT
0,1622342278.343,27.25,LTE
1,1622342278.353,29.4,LTE
2,1622342278.363,29.25,LTE
3,1622342278.373,29.45,LTE
4,1622342278.383,30.0,LTE
5,1622342278.393,30.0,LTE
6,1622342278.403,29.15,LTE
7,1622342278.413,28.7,LTE
8,1622342278.423,26.65,LTE
9,1622342278.433,28.55,LTE
10,1622342278.443,29.299999999999997,LTE
11,1622342278.453,27.4,LTE
12,1622342278.463,27.2,LTE
13,1622342278.473,26.4,LTE
14,1622342278.483,26.200000000000003,LTE
15,1622342278.493,27.95,LTE
16,1622342278.503,29.05,LTE
17,1622342278.513,29.4,LTE
18,1622342278.523,29.3,LTE
19,1622342278.533,27.549999999999997,LTE
20,1622342278.543,29.55,LTE
21,1622342278.553,25.55,LTE
22,1622342278.563,27.25,LTE
23,1622342278.573,28.45,LTE
24,1622342278.583,26.75,LTE
25,1622342278.593,26.65,LTE
26,1622342278.603,26.85,LTE
27,1622342278.613,25.55,LTE
28,1622342278.623,27.6,LTE
29,1622342278.633,26.450000000000003,LTE
30,1622342278.643,26.0,LTE
31,1622342278.654,27.25,LTE
32,1622342278.663,27.25,LTE
33,1622342278.673,26.5,LTE
34,1622342278.683,25.35,LTE
35,1622342278.693,26.700000000000003,LTE
36,1622342278.703,25.700000000000003,LTE
37,1622342278.713,24.9,LTE
38,1622342278.723,24.85,LTE
39,1622342278.733,23.6,LTE
40,1622342278.743,24.35,LTE
41,1622342278.753,25.0,LTE
42,1622342278.763,23.85,LTE
43,1622342278.773,25.2,LTE
44,1622342278.783,22.65,LTE
45,1622342278.793,21.85,LTE
46,1622342278.803,22.299999999999997,LTE
47,1622342278.813,24.2,LTE
48,1622342278.823,24.75,LTE
49,1622342278.833,24.3,LTE
50,1622342278.843,22.5,LTE
51,1622342278.853,21.85,LTE
52,1622342278.863,22.2,LTE
53,1622342278.873,22.450000000000003,LTE
54,1622342278.883,21.95,LTE
55,1622342278.893,20.95,LTE
56,1622342278.903,22.65,LTE
57,1622342278.913,21.2,LTE
58,1622342278.923,20.3,LTE
59,1622342278.933,20.25,LTE
60,1622342278.943,21.35,LTE
61,1622342278.953,21.65,LTE
62,1622342278.963,21.25,LTE
63,1622342278.973,21.5,LTE
64,1622342278.983,21.3,LTE
65,1622342278.993,22.9,LTE
66,1622342279.003,21.6,LTE
67,1622342279.013,22.700000000000003,LTE
68,1622342279.023,22.2,LTE
69,1622342279.033,21.2,LTE
70,1622342279.043,22.0,LTE
71,1622342279.053,21.55,LTE
72,1622342279.063,21.75,LTE
73,1622342279.073,21.700000000000003,LTE
74,1622342279.083,22.85,LTE
75,1622342279.093,23.1,LTE
76,1622342279.103,21.799999999999997,LTE
77,1622342279.113,22.5,LTE
78,1622342279.123,22.5,LTE
79,1622342279.133,21.4,LTE
80,1622342279.143,21.9,LTE
81,1622342279.153,23.549999999999997,LTE
82,1622342279.163,23.1,LTE
83,1622342279.173,22.75,LTE
84,1622342279.183,22.65,LTE
85,1622342279.193,22.05,LTE
86,1622342279.203,20.9,LTE
87,1622342279.213,22.200000000000003,LTE
88,1622342279.223,22.3,LTE
89,1622342279.233,21.85,LTE
90,1622342279.243,19.9,LTE
91,1622342279.253,20.6,LTE
92,1622342279.263,21.85,LTE
93,1622342279.273,20.5,LTE
94,1622342279.283,21.8,LTE
95,1622342279.294,21.200000000000003,LTE
96,1622342279.303,20.65,LTE
97,1622342279.313,20.299999999999997,LTE
98,1622342279.323,20.049999999999997,LTE
99,1622342279.333,21.05,LTE
100,1622342279.343,21.85,LTE
101,1622342279.353,22.25,LTE
102,1622342279.363,20.75,LTE
103,1622342279.373,20.85,LTE
104,1622342279.383,21.2,LTE
105,1622342279.393,21.4,LTE
106,1622342279.403,20.85,LTE
107,1622342279.413,20.200000000000003,LTE
108,1622342279.423,21.4,LTE
109,1622342279.433,20.9,LTE
110,1622342279.443,20.549999999999997,LTE
111,1622342279.453,20.9,LTE
112,1622342279.463,22.85,LTE
113,1622342279.473,22.15,LTE
