,TimeStamp,SNR,RAT
0,1628033452.317,19.0,LTE
1,1628033452.327,18.05,LTE
2,1628033452.337,19.35,LTE
3,1628033452.347,18.15,LTE
4,1628033452.357,18.450000000000003,LTE
5,1628033452.367,18.1,LTE
6,1628033452.377,16.75,LTE
7,1628033452.387,16.35,LTE
8,1628033452.397,16.1,LTE
9,1628033452.407,16.2,LTE
10,1628033452.417,16.0,LTE
11,1628033452.427,16.35,LTE
12,1628033452.437,16.3,LTE
13,1628033452.457,17.1,LTE
14,1628033452.477,16.65,LTE
15,1628033452.497,16.65,LTE
16,1628033452.517,16.65,LTE
17,1628033452.629,17.4,LTE
18,1628033452.68,16.200000000000003,LTE
19,1628033452.69,17.45,LTE
20,1628033452.7,16.5,LTE
21,1628033452.71,15.7,LTE
22,1628033452.72,15.05,LTE
23,1628033452.73,15.0,LTE
24,1628033452.74,15.85,LTE
25,1628033452.757,16.799999999999997,LTE
26,1628033452.777,15.25,LTE
27,1628033452.797,16.05,LTE
28,1628033452.817,15.8,LTE
29,1628033452.977,14.35,LTE
30,1628033453.007,15.75,LTE
31,1628033453.017,12.850000000000001,LTE
32,1628033453.027,13.2,LTE
33,1628033453.037,12.6,LTE
34,1628033453.052,12.7,LTE
35,1628033453.101,13.35,LTE
36,1628033453.111,15.350000000000001,LTE
37,1628033453.121,14.6,LTE
38,1628033453.131,14.0,LTE
39,1628033453.141,14.95,LTE
40,1628033453.157,15.25,LTE
41,1628033453.177,14.35,LTE
42,1628033453.197,13.549999999999999,LTE
43,1628033453.217,13.7,LTE
44,1628033453.456,14.95,LTE
45,1628033453.616,16.95,LTE
46,1628033453.648,20.15,LTE
47,1628033453.677,20.299999999999997,LTE
48,1628033453.697,19.65,LTE
49,1628033453.717,19.55,LTE
50,1628033453.737,18.45,LTE
51,1628033453.936,19.85,LTE
52,1628033454.096,19.9,LTE
53,1628033454.256,20.25,LTE
54,1628033454.288,22.45,LTE
55,1628033454.297,21.95,LTE
56,1628033454.317,21.549999999999997,LTE
57,1628033454.332,20.6,LTE
58,1628033454.381,22.7,LTE
59,1628033454.391,23.85,LTE
60,1628033454.401,23.700000000000003,LTE
61,1628033454.411,23.450000000000003,LTE
62,1628033454.421,22.75,LTE
63,1628033454.431,23.700000000000003,LTE
64,1628033454.441,22.5,LTE
65,1628033454.451,23.049999999999997,LTE
66,1628033454.461,22.75,LTE
67,1628033454.471,22.25,LTE
68,1628033454.481,21.549999999999997,LTE
69,1628033454.491,21.55,LTE
70,1628033454.501,20.4,LTE
71,1628033454.511,20.3,LTE
72,1628033454.521,20.35,LTE
73,1628033454.531,20.2,LTE
74,1628033454.541,19.7,LTE
75,1628033454.551,19.9,LTE
76,1628033454.577,19.35,LTE
77,1628033454.597,19.2,LTE
78,1628033454.617,19.95,LTE
79,1628033454.637,23.6,LTE
80,1628033454.896,19.55,LTE
81,1628033455.056,20.1,LTE
82,1628033455.088,22.5,LTE
83,1628033455.112,21.3,LTE
84,1628033455.162,20.15,LTE
85,1628033455.172,19.9,LTE
86,1628033455.182,20.9,LTE
87,1628033455.192,21.25,LTE
88,1628033455.202,21.0,LTE
89,1628033455.212,20.65,LTE
90,1628033455.222,18.55,LTE
91,1628033455.232,18.200000000000003,LTE
92,1628033455.242,15.45,LTE
93,1628033455.252,14.899999999999999,LTE
94,1628033455.262,17.1,LTE
95,1628033455.277,17.5,LTE
96,1628033455.297,18.950000000000003,LTE
97,1628033455.317,17.35,LTE
98,1628033455.359,16.6,LTE
99,1628033455.41,15.850000000000001,LTE
100,1628033455.42,15.350000000000001,LTE
101,1628033455.43,15.2,LTE
102,1628033455.44,14.5,LTE
103,1628033455.45,14.4,LTE
104,1628033455.46,15.450000000000001,LTE
105,1628033455.47,15.75,LTE
106,1628033455.48,15.75,LTE
107,1628033455.49,16.35,LTE
108,1628033455.5,17.1,LTE
109,1628033455.51,16.950000000000003,LTE
110,1628033455.52,16.6,LTE
111,1628033455.531,17.549999999999997,LTE
112,1628033455.54,15.85,LTE
113,1628033455.55,15.0,LTE
114,1628033455.56,14.0,LTE
115,1628033455.57,12.899999999999999,LTE
116,1628033455.58,14.0,LTE
117,1628033455.59,14.2,LTE
118,1628033455.6,13.850000000000001,LTE
119,1628033455.61,14.9,LTE
120,1628033455.62,16.85,LTE
121,1628033455.63,18.2,LTE
122,1628033455.64,17.25,LTE
123,1628033455.65,16.65,LTE
124,1628033455.66,15.65,LTE
125,1628033455.67,15.8,LTE
126,1628033455.68,14.649999999999999,LTE
127,1628033455.69,14.649999999999999,LTE
128,1628033455.7,14.55,LTE
129,1628033455.71,15.0,LTE
130,1628033455.72,15.55,LTE
131,1628033455.73,16.05,LTE
132,1628033455.74,16.85,LTE
133,1628033455.75,16.9,LTE
134,1628033455.76,15.95,LTE
135,1628033455.77,16.15,LTE
136,1628033455.78,15.600000000000001,LTE
137,1628033455.79,15.399999999999999,LTE
