,TimeStamp,SNR,RAT
0,1628022374.434,6.7,LTE
1,1628022374.443,7.6000000000000005,LTE
2,1628022374.453,8.25,LTE
3,1628022374.463,5.300000000000001,LTE
4,1628022374.473,4.35,LTE
5,1628022374.483,5.25,LTE
6,1628022374.486,4.5,LTE
7,1628022374.513,2.8,LTE
8,1628022374.523,2.0500000000000003,LTE
9,1628022374.533,1.85,LTE
10,1628022374.543,-0.5499999999999999,LTE
11,1628022374.553,1.4,LTE
12,1628022374.563,3.1500000000000004,LTE
13,1628022374.573,3.6,LTE
14,1628022374.583,1.7000000000000002,LTE
15,1628022374.586,1.1,LTE
16,1628022374.612,1.25,LTE
17,1628022374.623,-0.6,LTE
18,1628022374.63,-1.0999999999999999,LTE
19,1628022374.658,1.5,LTE
20,1628022374.698,1.9,LTE
21,1628022374.738,-3.4499999999999997,LTE
22,1628022374.778,3.75,LTE
23,1628022374.818,-1.25,LTE
24,1628022374.858,1.75,LTE
25,1628022374.898,3.3,LTE
26,1628022374.938,-0.6499999999999999,LTE
27,1628022374.978,1.85,LTE
28,1628022375.018,3.2,LTE
29,1628022375.058,3.1,LTE
30,1628022375.098,3.0500000000000003,LTE
31,1628022375.138,2.15,LTE
32,1628022375.178,1.1,LTE
33,1628022375.218,4.25,LTE
34,1628022375.242,3.95,LTE
35,1628022375.247,7.65,LTE
36,1628022375.252,6.5,LTE
37,1628022375.263,6.949999999999999,LTE
38,1628022375.271,10.1,LTE
39,1628022375.279,5.699999999999999,LTE
40,1628022375.287,6.35,LTE
41,1628022375.298,6.25,LTE
42,1628022375.338,3.0,LTE
43,1628022375.377,-2.65,LTE
44,1628022375.418,-3.05,LTE
45,1628022375.458,-3.25,LTE
46,1628022375.498,-2.5500000000000003,LTE
47,1628022375.537,-2.1500000000000004,LTE
48,1628022375.578,-6.9,LTE
49,1628022375.618,-2.0,LTE
50,1628022375.658,-3.25,LTE
51,1628022375.698,-1.8499999999999999,LTE
52,1628022375.738,1.05,LTE
53,1628022375.778,3.3,LTE
54,1628022375.818,7.45,LTE
55,1628022375.858,9.5,LTE
56,1628022375.898,10.0,LTE
57,1628022375.938,9.5,LTE
58,1628022375.978,9.9,LTE
59,1628022376.017,9.2,LTE
60,1628022376.058,8.7,LTE
61,1628022376.098,4.3,LTE
62,1628022376.138,4.5,LTE
63,1628022376.178,5.949999999999999,LTE
64,1628022376.217,9.0,LTE
65,1628022376.258,11.1,LTE
66,1628022376.298,6.699999999999999,LTE
67,1628022376.338,8.05,LTE
