,TimeStamp,SNR,RAT
0,1631141409.727,24.75,LTE
1,1631141409.737,26.0,LTE
2,1631141409.747,25.4,LTE
3,1631141409.757,26.1,LTE
4,1631141409.767,25.85,LTE
5,1631141409.777,26.1,LTE
6,1631141409.787,24.9,LTE
7,1631141409.797,24.950000000000003,LTE
8,1631141409.807,25.1,LTE
9,1631141409.817,25.049999999999997,LTE
10,1631141409.827,24.450000000000003,LTE
11,1631141409.837,25.35,LTE
12,1631141409.847,23.45,LTE
13,1631141409.857,25.9,LTE
14,1631141409.867,25.55,LTE
15,1631141409.877,24.55,LTE
16,1631141409.887,25.2,LTE
17,1631141409.897,24.65,LTE
18,1631141409.907,23.6,LTE
19,1631141409.917,24.6,LTE
20,1631141409.927,24.15,LTE
21,1631141409.937,23.5,LTE
22,1631141409.947,22.9,LTE
23,1631141409.957,23.85,LTE
24,1631141409.967,23.05,LTE
25,1631141409.977,22.450000000000003,LTE
26,1631141409.987,22.85,LTE
27,1631141409.997,22.25,LTE
28,1631141410.007,21.700000000000003,LTE
29,1631141410.017,21.7,LTE
30,1631141410.027,22.5,LTE
31,1631141410.037,22.1,LTE
32,1631141410.047,21.9,LTE
33,1631141410.057,21.75,LTE
34,1631141410.067,19.75,LTE
35,1631141410.077,19.3,LTE
36,1631141410.087,20.7,LTE
37,1631141410.097,21.0,LTE
38,1631141410.107,21.200000000000003,LTE
39,1631141410.117,21.15,LTE
40,1631141410.127,21.35,LTE
41,1631141410.137,21.55,LTE
42,1631141410.147,22.25,LTE
43,1631141410.157,21.1,LTE
44,1631141410.167,21.799999999999997,LTE
45,1631141410.177,22.950000000000003,LTE
46,1631141410.187,22.95,LTE
47,1631141410.197,23.25,LTE
48,1631141410.207,24.25,LTE
49,1631141410.217,24.950000000000003,LTE
50,1631141410.227,24.15,LTE
51,1631141410.237,24.75,LTE
52,1631141410.247,24.9,LTE
53,1631141410.257,26.049999999999997,LTE
54,1631141410.267,24.8,LTE
55,1631141410.277,24.15,LTE
56,1631141410.287,23.5,LTE
57,1631141410.297,23.55,LTE
58,1631141410.307,23.45,LTE
59,1631141410.317,23.5,LTE
60,1631141410.327,23.65,LTE
61,1631141410.337,24.2,LTE
62,1631141410.347,24.1,LTE
63,1631141410.357,24.3,LTE
64,1631141410.367,24.65,LTE
