,TimeStamp,SNR,RAT
0,1631103711.518,6.2,LTE
1,1631103711.54,6.3,LTE
2,1631103711.548,5.6,LTE
3,1631103711.558,5.6,LTE
4,1631103711.58,5.35,LTE
5,1631103711.588,6.0,LTE
6,1631103711.598,6.949999999999999,LTE
7,1631103711.62,6.7,LTE
8,1631103711.628,6.95,LTE
9,1631103711.638,6.699999999999999,LTE
10,1631103711.66,8.45,LTE
11,1631103711.668,6.7,LTE
12,1631103711.678,6.8500000000000005,LTE
13,1631103711.7,8.8,LTE
14,1631103711.708,5.699999999999999,LTE
15,1631103711.718,5.4,LTE
16,1631103711.74,6.9,LTE
17,1631103711.748,4.8,LTE
18,1631103711.758,4.4,LTE
19,1631103711.78,4.85,LTE
20,1631103711.788,4.800000000000001,LTE
21,1631103711.798,5.699999999999999,LTE
22,1631103711.82,6.55,LTE
23,1631103711.828,6.35,LTE
24,1631103711.838,6.6,LTE
25,1631103711.86,7.699999999999999,LTE
26,1631103711.868,6.9,LTE
27,1631103711.878,6.6000000000000005,LTE
28,1631103711.9,11.5,LTE
29,1631103711.908,7.550000000000001,LTE
30,1631103711.918,6.949999999999999,LTE
31,1631103711.94,8.0,LTE
32,1631103711.948,6.35,LTE
33,1631103711.958,5.8500000000000005,LTE
34,1631103711.98,7.199999999999999,LTE
35,1631103711.988,6.300000000000001,LTE
36,1631103711.998,6.7,LTE
37,1631103712.02,5.8500000000000005,LTE
38,1631103712.028,8.05,LTE
39,1631103712.038,7.5,LTE
40,1631103712.06,5.95,LTE
41,1631103712.068,6.6,LTE
42,1631103712.078,6.2,LTE
43,1631103712.1,5.2,LTE
44,1631103712.108,6.800000000000001,LTE
45,1631103712.118,6.550000000000001,LTE
46,1631103712.14,5.5,LTE
47,1631103712.148,5.2,LTE
48,1631103712.158,5.9,LTE
49,1631103712.18,7.449999999999999,LTE
50,1631103712.188,5.5,LTE
51,1631103712.198,4.25,LTE
52,1631103712.22,3.45,LTE
53,1631103712.228,1.05,LTE
54,1631103712.238,1.4500000000000002,LTE
55,1631103712.26,7.75,LTE
56,1631103712.268,6.199999999999999,LTE
57,1631103712.278,5.3,LTE
58,1631103712.3,8.7,LTE
59,1631103712.308,8.149999999999999,LTE
60,1631103712.318,8.1,LTE
61,1631103712.34,13.85,LTE
62,1631103712.348,10.149999999999999,LTE
63,1631103712.358,11.600000000000001,LTE
64,1631103712.38,13.4,LTE
65,1631103712.388,12.100000000000001,LTE
66,1631103712.398,11.899999999999999,LTE
67,1631103712.42,11.1,LTE
68,1631103712.428,10.85,LTE
69,1631103712.438,11.05,LTE
70,1631103712.46,10.75,LTE
71,1631103712.468,10.3,LTE
72,1631103712.478,9.5,LTE
73,1631103712.5,9.65,LTE
74,1631103712.508,9.5,LTE
75,1631103712.518,10.1,LTE
76,1631103712.54,9.45,LTE
77,1631103712.548,8.95,LTE
78,1631103712.558,8.6,LTE
79,1631103712.58,8.45,LTE
80,1631103712.588,8.7,LTE
81,1631103712.598,8.75,LTE
82,1631103712.62,9.8,LTE
83,1631103712.628,8.7,LTE
84,1631103712.638,9.55,LTE
85,1631103712.66,8.5,LTE
86,1631103712.668,8.35,LTE
87,1631103712.678,8.8,LTE
88,1631103712.7,7.05,LTE
89,1631103712.708,7.3,LTE
90,1631103712.718,6.8500000000000005,LTE
91,1631103712.74,7.199999999999999,LTE
92,1631103712.748,6.6,LTE
93,1631103712.758,7.05,LTE
94,1631103712.78,7.1,LTE
95,1631103712.788,7.15,LTE
96,1631103712.798,7.050000000000001,LTE
97,1631103712.82,7.550000000000001,LTE
98,1631103712.828,7.25,LTE
99,1631103712.838,7.199999999999999,LTE
100,1631103712.86,7.75,LTE
101,1631103712.868,6.9,LTE
102,1631103712.878,6.9,LTE
103,1631103712.9,8.75,LTE
104,1631103712.908,7.85,LTE
105,1631103712.918,8.05,LTE
106,1631103712.94,9.05,LTE
107,1631103712.948,9.899999999999999,LTE
108,1631103712.958,8.8,LTE
109,1631103712.98,11.899999999999999,LTE
110,1631103712.988,7.85,LTE
111,1631103712.998,7.8,LTE
112,1631103713.02,7.5,LTE
113,1631103713.028,6.25,LTE
114,1631103713.038,4.85,LTE
115,1631103713.06,6.65,LTE
116,1631103713.068,5.65,LTE
117,1631103713.078,5.449999999999999,LTE
118,1631103713.1,5.35,LTE
119,1631103713.108,4.25,LTE
120,1631103713.118,4.25,LTE
121,1631103713.14,3.05,LTE
122,1631103713.148,3.25,LTE
123,1631103713.158,3.6,LTE
124,1631103713.18,7.95,LTE
125,1631103713.188,5.550000000000001,LTE
126,1631103713.198,6.5,LTE
127,1631103713.22,7.95,LTE
128,1631103713.228,7.75,LTE
129,1631103713.238,8.6,LTE
130,1631103713.26,7.7,LTE
131,1631103713.268,8.4,LTE
132,1631103713.278,8.9,LTE
133,1631103713.3,9.55,LTE
134,1631103713.308,9.55,LTE
135,1631103713.318,9.5,LTE
136,1631103713.34,10.7,LTE
137,1631103713.348,9.899999999999999,LTE
138,1631103713.358,11.15,LTE
139,1631103713.38,10.399999999999999,LTE
140,1631103713.388,10.0,LTE
141,1631103713.398,10.2,LTE
142,1631103713.42,9.8,LTE
143,1631103713.428,8.6,LTE
144,1631103713.438,8.85,LTE
145,1631103713.46,8.05,LTE
146,1631103713.468,7.4,LTE
147,1631103713.478,6.5,LTE
148,1631103713.5,7.0,LTE
149,1631103713.508,6.050000000000001,LTE
150,1631103713.518,6.55,LTE
151,1631103713.54,6.4,LTE
152,1631103713.548,6.5,LTE
153,1631103713.558,6.65,LTE
154,1631103713.58,11.15,LTE
155,1631103713.588,9.8,LTE
156,1631103713.598,7.9,LTE
157,1631103713.62,10.5,LTE
158,1631103713.628,9.85,LTE
159,1631103713.638,8.3,LTE
160,1631103713.66,8.15,LTE
161,1631103713.668,9.5,LTE
162,1631103713.678,7.9,LTE
163,1631103713.7,5.25,LTE
164,1631103713.708,6.449999999999999,LTE
165,1631103713.718,8.05,LTE
166,1631103713.74,7.7,LTE
167,1631103713.748,5.3,LTE
168,1631103713.758,7.449999999999999,LTE
169,1631103713.78,9.35,LTE
170,1631103713.788,4.1000000000000005,LTE
171,1631103713.798,5.55,LTE
172,1631103713.82,10.15,LTE
173,1631103713.828,7.3500000000000005,LTE
174,1631103713.838,7.9,LTE
175,1631103713.871,8.15,LTE
