,TimeStamp,SNR,RAT
0,1631141335.537,21.5,LTE
1,1631141335.547,22.4,LTE
2,1631141335.557,21.1,LTE
3,1631141335.567,23.4,LTE
4,1631141335.577,23.45,LTE
5,1631141335.587,24.45,LTE
6,1631141335.597,23.1,LTE
7,1631141335.607,23.85,LTE
8,1631141335.617,22.4,LTE
9,1631141335.628,23.85,LTE
10,1631141335.637,23.9,LTE
11,1631141335.647,24.6,LTE
12,1631141335.657,23.85,LTE
13,1631141335.667,24.4,LTE
14,1631141335.677,23.1,LTE
15,1631141335.687,23.8,LTE
16,1631141335.697,23.6,LTE
17,1631141335.707,23.9,LTE
18,1631141335.717,23.45,LTE
19,1631141335.727,23.85,LTE
20,1631141335.737,24.25,LTE
21,1631141335.747,24.75,LTE
22,1631141335.757,24.05,LTE
23,1631141335.767,23.700000000000003,LTE
24,1631141335.777,24.549999999999997,LTE
25,1631141335.787,24.85,LTE
26,1631141335.797,22.549999999999997,LTE
27,1631141335.807,22.6,LTE
28,1631141335.817,22.4,LTE
29,1631141335.827,23.95,LTE
30,1631141335.837,23.450000000000003,LTE
31,1631141335.847,22.65,LTE
32,1631141335.857,21.950000000000003,LTE
33,1631141335.867,23.1,LTE
34,1631141335.877,20.7,LTE
35,1631141335.887,20.1,LTE
36,1631141335.897,20.6,LTE
37,1631141335.907,22.75,LTE
38,1631141335.917,21.25,LTE
39,1631141335.927,21.25,LTE
40,1631141335.937,20.799999999999997,LTE
41,1631141335.947,23.35,LTE
42,1631141335.957,20.950000000000003,LTE
43,1631141335.967,21.6,LTE
44,1631141335.977,21.1,LTE
45,1631141335.987,23.0,LTE
46,1631141335.997,18.6,LTE
47,1631141336.007,21.0,LTE
48,1631141336.017,19.35,LTE
49,1631141336.027,21.55,LTE
50,1631141336.037,19.15,LTE
51,1631141336.047,21.9,LTE
52,1631141336.057,21.65,LTE
53,1631141336.068,23.45,LTE
54,1631141336.077,22.7,LTE
55,1631141336.087,23.25,LTE
56,1631141336.097,21.45,LTE
57,1631141336.107,23.05,LTE
58,1631141336.117,20.1,LTE
59,1631141336.127,21.1,LTE
60,1631141336.137,22.5,LTE
61,1631141336.147,24.85,LTE
62,1631141336.157,22.25,LTE
63,1631141336.167,23.9,LTE
64,1631141336.177,22.049999999999997,LTE
65,1631141336.187,23.65,LTE
66,1631141336.197,22.4,LTE
67,1631141336.207,22.75,LTE
68,1631141336.217,22.45,LTE
69,1631141336.227,24.15,LTE
70,1631141336.237,21.65,LTE
71,1631141336.247,22.45,LTE
72,1631141336.257,21.1,LTE
73,1631141336.267,23.65,LTE
74,1631141336.277,21.65,LTE
