,TimeStamp,SNR,RAT
0,1631113499.874,22.4,LTE
1,1631113499.884,21.8,LTE
2,1631113499.894,20.85,LTE
3,1631113499.904,19.5,LTE
4,1631113499.914,18.549999999999997,LTE
5,1631113499.924,17.6,LTE
6,1631113499.934,19.799999999999997,LTE
7,1631113499.944,20.45,LTE
8,1631113499.954,22.85,LTE
9,1631113499.964,23.15,LTE
10,1631113499.973,22.7,LTE
11,1631113499.983,22.95,LTE
12,1631113499.994,22.25,LTE
13,1631113500.004,20.7,LTE
14,1631113500.013,22.7,LTE
15,1631113500.024,23.65,LTE
16,1631113500.034,24.7,LTE
17,1631113500.044,24.1,LTE
18,1631113500.054,23.85,LTE
19,1631113500.063,23.55,LTE
20,1631113500.074,20.45,LTE
21,1631113500.084,18.4,LTE
22,1631113500.094,20.95,LTE
23,1631113500.103,18.700000000000003,LTE
24,1631113500.114,23.6,LTE
25,1631113500.124,24.3,LTE
26,1631113500.133,24.75,LTE
27,1631113500.143,23.950000000000003,LTE
28,1631113500.154,23.35,LTE
29,1631113500.164,18.1,LTE
30,1631113500.173,18.0,LTE
31,1631113500.184,19.0,LTE
32,1631113500.194,22.1,LTE
33,1631113500.203,23.55,LTE
34,1631113500.213,23.5,LTE
35,1631113500.223,22.5,LTE
36,1631113500.234,21.55,LTE
37,1631113500.244,17.6,LTE
38,1631113500.253,16.15,LTE
39,1631113500.263,18.200000000000003,LTE
40,1631113500.274,20.049999999999997,LTE
41,1631113500.284,21.9,LTE
42,1631113500.294,22.9,LTE
43,1631113500.303,21.799999999999997,LTE
44,1631113500.314,22.25,LTE
45,1631113500.324,20.3,LTE
46,1631113500.333,19.25,LTE
47,1631113500.343,17.5,LTE
48,1631113500.354,19.25,LTE
49,1631113500.363,22.0,LTE
50,1631113500.373,24.4,LTE
51,1631113500.397,19.9,LTE
52,1631113500.403,15.9,LTE
53,1631113500.413,15.600000000000001,LTE
54,1631113500.424,16.7,LTE
55,1631113500.434,19.0,LTE
56,1631113500.444,21.4,LTE
57,1631113500.454,22.45,LTE
58,1631113500.463,21.8,LTE
59,1631113500.474,20.799999999999997,LTE
60,1631113500.484,18.35,LTE
61,1631113500.493,15.65,LTE
62,1631113500.504,17.1,LTE
63,1631113500.514,20.1,LTE
64,1631113500.524,21.15,LTE
65,1631113500.533,23.0,LTE
66,1631113500.543,22.7,LTE
67,1631113500.554,21.95,LTE
68,1631113500.563,19.05,LTE
69,1631113500.573,18.95,LTE
70,1631113500.584,18.75,LTE
71,1631113500.594,19.8,LTE
72,1631113500.603,20.95,LTE
73,1631113500.613,24.05,LTE
74,1631113500.624,22.95,LTE
75,1631113500.634,22.5,LTE
76,1631113500.643,20.5,LTE
77,1631113500.653,18.85,LTE
