,TimeStamp,SNR,RAT
0,1631105566.133,17.3,LTE
1,1631105566.143,15.7,LTE
2,1631105566.153,16.799999999999997,LTE
3,1631105566.163,16.55,LTE
4,1631105566.173,16.35,LTE
5,1631105566.183,16.95,LTE
6,1631105566.193,16.6,LTE
7,1631105566.203,16.4,LTE
8,1631105566.213,16.5,LTE
9,1631105566.223,16.8,LTE
10,1631105566.233,16.3,LTE
11,1631105566.243,17.2,LTE
12,1631105566.253,17.3,LTE
13,1631105566.263,17.15,LTE
14,1631105566.273,16.05,LTE
15,1631105566.283,16.4,LTE
16,1631105566.294,16.95,LTE
17,1631105566.303,16.7,LTE
18,1631105566.313,15.95,LTE
19,1631105566.323,16.0,LTE
20,1631105566.333,17.05,LTE
21,1631105566.343,15.55,LTE
22,1631105566.353,16.700000000000003,LTE
23,1631105566.363,16.55,LTE
24,1631105566.373,16.5,LTE
25,1631105566.383,16.1,LTE
26,1631105566.393,16.1,LTE
27,1631105566.403,15.4,LTE
28,1631105566.413,16.85,LTE
29,1631105566.423,15.85,LTE
30,1631105566.433,16.85,LTE
31,1631105566.443,16.5,LTE
32,1631105566.453,16.05,LTE
33,1631105566.463,16.4,LTE
34,1631105566.473,15.65,LTE
35,1631105566.483,16.4,LTE
36,1631105566.494,16.9,LTE
37,1631105566.503,15.450000000000001,LTE
38,1631105566.513,16.15,LTE
39,1631105566.523,14.6,LTE
40,1631105566.533,15.3,LTE
41,1631105566.543,15.55,LTE
42,1631105566.553,15.45,LTE
43,1631105566.563,15.35,LTE
44,1631105566.573,16.3,LTE
45,1631105566.583,15.3,LTE
46,1631105566.593,16.35,LTE
47,1631105566.603,15.549999999999999,LTE
48,1631105566.613,16.2,LTE
49,1631105566.623,15.75,LTE
50,1631105566.633,16.4,LTE
51,1631105566.643,15.65,LTE
52,1631105566.666,16.6,LTE
53,1631105566.673,16.6,LTE
54,1631105566.683,16.55,LTE
55,1631105566.694,16.15,LTE
56,1631105566.703,16.75,LTE
57,1631105566.713,16.65,LTE
58,1631105566.723,16.15,LTE
59,1631105566.733,15.7,LTE
60,1631105566.743,16.8,LTE
61,1631105566.753,15.75,LTE
62,1631105566.763,14.95,LTE
63,1631105566.773,16.4,LTE
64,1631105566.783,17.65,LTE
65,1631105566.793,17.1,LTE
66,1631105566.803,16.4,LTE
67,1631105566.813,17.1,LTE
68,1631105566.823,16.75,LTE
69,1631105566.833,16.95,LTE
70,1631105566.843,16.85,LTE
71,1631105566.853,16.55,LTE
72,1631105566.863,17.25,LTE
73,1631105566.873,17.05,LTE
74,1631105566.883,15.25,LTE
75,1631105566.894,16.05,LTE
76,1631105566.903,15.450000000000001,LTE
77,1631105566.913,15.7,LTE
78,1631105566.923,15.3,LTE
79,1631105566.933,16.35,LTE
80,1631105566.943,15.899999999999999,LTE
81,1631105566.953,16.6,LTE
82,1631105566.963,16.0,LTE
83,1631105566.973,16.25,LTE
84,1631105566.983,15.65,LTE
85,1631105566.993,16.9,LTE
86,1631105567.003,15.85,LTE
87,1631105567.013,16.55,LTE
88,1631105567.023,16.05,LTE
89,1631105567.033,16.05,LTE
90,1631105567.043,15.45,LTE
91,1631105567.053,15.7,LTE
