,TimeStamp,SNR,RAT
0,1631333337.905,23.25,LTE
1,1631333337.915,23.049999999999997,LTE
2,1631333337.925,22.5,LTE
3,1631333337.935,22.6,LTE
4,1631333337.945,23.15,LTE
5,1631333337.955,23.950000000000003,LTE
6,1631333337.965,22.15,LTE
7,1631333337.976,23.35,LTE
8,1631333337.985,23.9,LTE
9,1631333337.995,23.049999999999997,LTE
10,1631333338.005,23.5,LTE
11,1631333338.015,23.85,LTE
12,1631333338.025,23.65,LTE
13,1631333338.035,24.35,LTE
14,1631333338.045,24.15,LTE
15,1631333338.055,25.9,LTE
16,1631333338.065,25.8,LTE
17,1631333338.075,25.4,LTE
18,1631333338.085,25.15,LTE
19,1631333338.095,23.65,LTE
20,1631333338.105,24.8,LTE
21,1631333338.115,25.049999999999997,LTE
22,1631333338.125,23.5,LTE
23,1631333338.135,24.549999999999997,LTE
24,1631333338.145,25.25,LTE
25,1631333338.155,24.25,LTE
26,1631333338.165,23.8,LTE
27,1631333338.175,24.1,LTE
28,1631333338.185,23.6,LTE
29,1631333338.195,23.5,LTE
30,1631333338.205,23.15,LTE
31,1631333338.215,22.0,LTE
32,1631333338.225,23.85,LTE
33,1631333338.235,23.65,LTE
34,1631333338.245,23.95,LTE
35,1631333338.255,23.45,LTE
36,1631333338.265,24.7,LTE
37,1631333338.275,23.65,LTE
38,1631333338.285,23.75,LTE
39,1631333338.295,20.6,LTE
40,1631333338.305,21.45,LTE
41,1631333338.315,22.6,LTE
42,1631333338.325,23.85,LTE
43,1631333338.335,26.15,LTE
44,1631333338.345,24.5,LTE
45,1631333338.355,22.9,LTE
46,1631333338.365,23.65,LTE
47,1631333338.375,21.9,LTE
48,1631333338.385,20.75,LTE
49,1631333338.395,21.5,LTE
50,1631333338.405,21.3,LTE
51,1631333338.415,21.6,LTE
52,1631333338.425,22.8,LTE
53,1631333338.435,23.4,LTE
54,1631333338.445,22.15,LTE
55,1631333338.455,20.549999999999997,LTE
56,1631333338.465,21.299999999999997,LTE
57,1631333338.475,20.45,LTE
58,1631333338.485,20.85,LTE
59,1631333338.495,20.9,LTE
60,1631333338.505,20.15,LTE
61,1631333338.515,19.549999999999997,LTE
62,1631333338.525,20.049999999999997,LTE
63,1631333338.535,20.1,LTE
64,1631333338.545,19.55,LTE
65,1631333338.555,20.45,LTE
66,1631333338.565,21.3,LTE
67,1631333338.576,19.75,LTE
68,1631333338.585,19.5,LTE
69,1631333338.595,18.75,LTE
70,1631333338.605,20.6,LTE
71,1631333338.615,19.2,LTE
72,1631333338.625,20.75,LTE
73,1631333338.635,20.45,LTE
74,1631333338.645,20.25,LTE
75,1631333338.655,20.700000000000003,LTE
76,1631333338.665,20.5,LTE
77,1631333338.675,20.9,LTE
78,1631333338.685,22.05,LTE
79,1631333338.695,21.049999999999997,LTE
80,1631333338.705,22.4,LTE
81,1631333338.715,21.65,LTE
82,1631333338.725,22.950000000000003,LTE
83,1631333338.735,20.25,LTE
84,1631333338.745,22.2,LTE
85,1631333338.755,23.4,LTE
86,1631333338.765,23.8,LTE
87,1631333338.775,22.25,LTE
88,1631333338.785,22.8,LTE
89,1631333338.795,23.65,LTE
90,1631333338.805,24.45,LTE
91,1631333338.815,23.65,LTE
92,1631333338.825,20.7,LTE
93,1631333338.835,26.05,LTE
94,1631333338.845,24.65,LTE
95,1631333338.855,24.1,LTE
96,1631333338.865,21.950000000000003,LTE
97,1631333338.875,18.8,LTE
98,1631333338.885,22.75,LTE
99,1631333338.895,20.15,LTE
100,1631333338.905,18.3,LTE
101,1631333338.915,17.7,LTE
102,1631333338.925,20.4,LTE
103,1631333338.935,19.950000000000003,LTE
104,1631333338.945,20.2,LTE
105,1631333338.955,20.5,LTE
106,1631333338.965,19.9,LTE
107,1631333338.975,21.85,LTE
108,1631333338.985,20.1,LTE
109,1631333338.995,18.200000000000003,LTE
110,1631333339.005,19.25,LTE
111,1631333339.015,20.1,LTE
112,1631333339.025,18.25,LTE
113,1631333339.035,18.75,LTE
114,1631333339.045,19.75,LTE
115,1631333339.055,19.8,LTE
116,1631333339.065,21.1,LTE
117,1631333339.075,19.950000000000003,LTE
118,1631333339.085,19.85,LTE
119,1631333339.095,19.5,LTE
120,1631333339.105,18.2,LTE
121,1631333339.115,14.0,LTE
122,1631333339.125,18.75,LTE
123,1631333339.135,21.8,LTE
124,1631333339.145,20.299999999999997,LTE
125,1631333339.155,20.25,LTE
126,1631333339.165,17.799999999999997,LTE
127,1631333339.175,19.3,LTE
128,1631333339.185,19.6,LTE
129,1631333339.195,16.75,LTE
130,1631333339.205,18.200000000000003,LTE
131,1631333339.215,24.049999999999997,LTE
132,1631333339.225,21.75,LTE
133,1631333339.235,20.85,LTE
134,1631333339.245,21.8,LTE
135,1631333339.255,20.9,LTE
136,1631333339.265,21.85,LTE
137,1631333339.275,16.4,LTE
138,1631333339.285,19.3,LTE
