,TimeStamp,SNR,RAT
0,1631305012.904,16.55,LTE
1,1631305012.914,16.1,LTE
2,1631305012.924,16.25,LTE
3,1631305012.934,16.25,LTE
4,1631305012.944,16.950000000000003,LTE
5,1631305012.966,16.2,LTE
6,1631305012.974,14.8,LTE
7,1631305012.984,16.2,LTE
8,1631305012.994,16.9,LTE
9,1631305013.004,18.049999999999997,LTE
10,1631305013.014,17.6,LTE
11,1631305013.024,18.7,LTE
12,1631305013.046,15.9,LTE
13,1631305013.054,16.05,LTE
14,1631305013.064,17.75,LTE
15,1631305013.074,17.4,LTE
16,1631305013.084,18.15,LTE
17,1631305013.094,17.65,LTE
18,1631305013.104,18.700000000000003,LTE
19,1631305013.126,20.2,LTE
20,1631305013.134,19.65,LTE
21,1631305013.144,19.7,LTE
22,1631305013.154,19.35,LTE
23,1631305013.164,19.75,LTE
24,1631305013.174,20.700000000000003,LTE
25,1631305013.184,20.85,LTE
26,1631305013.206,20.549999999999997,LTE
27,1631305013.214,19.6,LTE
28,1631305013.224,21.4,LTE
29,1631305013.234,21.0,LTE
30,1631305013.244,21.6,LTE
31,1631305013.254,21.299999999999997,LTE
32,1631305013.264,21.85,LTE
33,1631305013.286,22.55,LTE
34,1631305013.294,20.299999999999997,LTE
35,1631305013.304,20.45,LTE
36,1631305013.314,20.15,LTE
37,1631305013.324,20.45,LTE
38,1631305013.334,19.200000000000003,LTE
39,1631305013.344,19.85,LTE
40,1631305013.366,20.85,LTE
41,1631305013.374,20.5,LTE
42,1631305013.384,19.700000000000003,LTE
43,1631305013.394,20.15,LTE
44,1631305013.404,19.15,LTE
45,1631305013.414,19.200000000000003,LTE
46,1631305013.424,19.1,LTE
47,1631305013.446,18.799999999999997,LTE
48,1631305013.454,18.3,LTE
49,1631305013.464,18.1,LTE
50,1631305013.474,19.5,LTE
51,1631305013.484,20.1,LTE
52,1631305013.494,17.35,LTE
53,1631305013.504,18.299999999999997,LTE
54,1631305013.526,19.05,LTE
55,1631305013.534,19.45,LTE
56,1631305013.544,19.15,LTE
57,1631305013.554,20.35,LTE
58,1631305013.564,21.55,LTE
59,1631305013.574,19.6,LTE
60,1631305013.584,20.0,LTE
61,1631305013.606,21.7,LTE
62,1631305013.614,20.9,LTE
63,1631305013.624,20.45,LTE
64,1631305013.634,19.9,LTE
65,1631305013.644,19.55,LTE
66,1631305013.654,19.6,LTE
67,1631305013.664,20.45,LTE
68,1631305013.686,20.7,LTE
69,1631305013.694,20.9,LTE
70,1631305013.704,19.1,LTE
71,1631305013.714,17.0,LTE
72,1631305013.724,19.35,LTE
73,1631305013.734,19.1,LTE
74,1631305013.744,17.85,LTE
75,1631305013.766,20.1,LTE
76,1631305013.774,19.9,LTE
77,1631305013.784,20.75,LTE
78,1631305013.794,20.299999999999997,LTE
79,1631305013.804,20.4,LTE
80,1631305013.814,19.7,LTE
81,1631305013.824,20.0,LTE
82,1631305013.846,21.0,LTE
83,1631305013.854,19.8,LTE
84,1631305013.864,20.8,LTE
85,1631305013.874,21.3,LTE
86,1631305013.884,21.299999999999997,LTE
87,1631305013.894,20.6,LTE
88,1631305013.904,21.1,LTE
89,1631305013.926,20.799999999999997,LTE
90,1631305013.934,21.15,LTE
91,1631305013.944,20.450000000000003,LTE
92,1631305013.954,20.5,LTE
93,1631305013.964,20.2,LTE
94,1631305013.974,20.0,LTE
95,1631305013.984,20.75,LTE
96,1631305014.006,20.8,LTE
97,1631305014.014,20.049999999999997,LTE
98,1631305014.024,20.85,LTE
99,1631305014.034,20.3,LTE
