,TimeStamp,SNR,RAT
0,1631304493.676,3.4,LTE
1,1631304493.686,1.9,LTE
2,1631304493.696,2.5,LTE
3,1631304493.706,0.55,LTE
4,1631304493.716,4.4,LTE
5,1631304493.726,5.5,LTE
6,1631304493.736,4.15,LTE
7,1631304493.746,4.05,LTE
8,1631304493.756,4.55,LTE
9,1631304493.766,4.9,LTE
10,1631304493.776,5.15,LTE
11,1631304493.786,6.05,LTE
12,1631304493.796,5.65,LTE
13,1631304493.806,5.35,LTE
14,1631304493.816,4.1,LTE
15,1631304493.826,4.35,LTE
16,1631304493.836,3.75,LTE
17,1631304493.846,4.85,LTE
18,1631304493.856,5.699999999999999,LTE
19,1631304493.866,5.7,LTE
20,1631304493.876,5.05,LTE
21,1631304493.886,7.25,LTE
22,1631304493.896,6.5,LTE
23,1631304493.906,5.55,LTE
24,1631304493.916,4.4,LTE
25,1631304493.926,5.5,LTE
26,1631304493.936,5.6,LTE
27,1631304493.946,7.9,LTE
28,1631304493.956,6.8,LTE
29,1631304493.966,7.800000000000001,LTE
30,1631304493.976,7.6499999999999995,LTE
31,1631304493.986,7.5,LTE
32,1631304493.996,7.35,LTE
33,1631304494.006,8.899999999999999,LTE
34,1631304494.016,10.25,LTE
35,1631304494.026,10.25,LTE
36,1631304494.036,7.6000000000000005,LTE
37,1631304494.046,6.9,LTE
38,1631304494.056,5.199999999999999,LTE
39,1631304494.066,7.25,LTE
40,1631304494.076,6.300000000000001,LTE
41,1631304494.086,11.1,LTE
42,1631304494.096,7.05,LTE
43,1631304494.106,8.7,LTE
44,1631304494.116,6.35,LTE
45,1631304494.126,7.55,LTE
46,1631304494.137,6.1,LTE
47,1631304494.146,6.050000000000001,LTE
48,1631304494.156,5.55,LTE
49,1631304494.166,5.8,LTE
50,1631304494.176,4.8,LTE
51,1631304494.186,6.5,LTE
52,1631304494.196,4.7,LTE
53,1631304494.206,4.95,LTE
54,1631304494.216,4.35,LTE
55,1631304494.226,3.55,LTE
56,1631304494.236,4.75,LTE
57,1631304494.246,5.7,LTE
58,1631304494.256,5.05,LTE
59,1631304494.266,5.35,LTE
60,1631304494.276,5.25,LTE
61,1631304494.286,6.6,LTE
62,1631304494.296,5.05,LTE
63,1631304494.306,7.4,LTE
64,1631304494.317,8.2,LTE
65,1631304494.326,7.45,LTE
66,1631304494.336,7.15,LTE
67,1631304494.346,8.4,LTE
68,1631304494.356,6.75,LTE
69,1631304494.366,6.0,LTE
70,1631304494.376,5.9,LTE
71,1631304494.386,7.3,LTE
72,1631304494.396,2.05,LTE
73,1631304494.406,4.95,LTE
