,TimeStamp,SNR,RAT
0,1631298897.031,6.9,LTE
1,1631298897.041,6.95,LTE
2,1631298897.051,6.4,LTE
3,1631298897.061,6.6,LTE
4,1631298897.072,6.550000000000001,LTE
5,1631298897.081,8.75,LTE
6,1631298897.091,7.9,LTE
7,1631298897.101,7.2,LTE
8,1631298897.111,7.55,LTE
9,1631298897.121,2.8499999999999996,LTE
10,1631298897.131,4.9,LTE
11,1631298897.141,8.55,LTE
12,1631298897.151,8.05,LTE
13,1631298897.161,8.95,LTE
14,1631298897.171,8.8,LTE
15,1631298897.181,8.95,LTE
16,1631298897.191,10.6,LTE
17,1631298897.201,9.8,LTE
18,1631298897.211,10.95,LTE
19,1631298897.221,10.45,LTE
20,1631298897.231,8.8,LTE
21,1631298897.241,7.800000000000001,LTE
22,1631298897.251,8.2,LTE
23,1631298897.261,10.4,LTE
24,1631298897.271,11.0,LTE
25,1631298897.281,10.95,LTE
26,1631298897.291,12.100000000000001,LTE
27,1631298897.301,11.35,LTE
28,1631298897.311,11.75,LTE
29,1631298897.321,11.4,LTE
30,1631298897.331,10.95,LTE
31,1631298897.341,11.3,LTE
32,1631298897.351,9.75,LTE
33,1631298897.361,9.65,LTE
34,1631298897.371,9.9,LTE
35,1631298897.381,8.8,LTE
36,1631298897.391,8.4,LTE
37,1631298897.401,7.9,LTE
38,1631298897.411,8.2,LTE
39,1631298897.422,7.2,LTE
40,1631298897.431,7.6,LTE
41,1631298897.441,6.6,LTE
42,1631298897.451,8.35,LTE
43,1631298897.461,9.15,LTE
44,1631298897.471,8.15,LTE
45,1631298897.481,7.199999999999999,LTE
46,1631298897.491,7.5,LTE
47,1631298897.501,8.15,LTE
48,1631298897.511,8.399999999999999,LTE
49,1631298897.521,8.350000000000001,LTE
50,1631298897.531,9.5,LTE
51,1631298897.541,9.25,LTE
52,1631298897.551,9.75,LTE
53,1631298897.561,9.35,LTE
54,1631298897.571,8.25,LTE
55,1631298897.581,7.05,LTE
56,1631298897.591,6.55,LTE
57,1631298897.601,5.95,LTE
58,1631298897.611,7.6,LTE
59,1631298897.621,6.55,LTE
60,1631298897.631,6.6,LTE
