,TimeStamp,SNR,RAT
0,1628021916.92,28.75,LTE
1,1628021916.93,28.65,LTE
2,1628021916.94,29.85,LTE
3,1628021916.95,29.700000000000003,LTE
4,1628021916.96,29.700000000000003,LTE
5,1628021916.97,29.049999999999997,LTE
6,1628021916.98,28.4,LTE
7,1628021916.99,27.8,LTE
8,1628021917.0,29.45,LTE
9,1628021917.01,29.4,LTE
10,1628021917.02,28.6,LTE
11,1628021917.03,29.5,LTE
12,1628021917.04,29.75,LTE
13,1628021917.05,29.8,LTE
14,1628021917.06,29.9,LTE
15,1628021917.07,29.8,LTE
16,1628021917.08,29.25,LTE
17,1628021917.09,29.5,LTE
18,1628021917.1,30.0,LTE
19,1628021917.11,29.7,LTE
20,1628021917.12,29.25,LTE
21,1628021917.13,27.8,LTE
22,1628021917.14,27.0,LTE
23,1628021917.15,28.15,LTE
24,1628021917.16,27.35,LTE
25,1628021917.17,27.95,LTE
26,1628021917.18,26.3,LTE
27,1628021917.2,27.25,LTE
28,1628021917.21,27.55,LTE
29,1628021917.22,28.25,LTE
30,1628021917.23,28.7,LTE
31,1628021917.24,27.75,LTE
32,1628021917.25,27.05,LTE
33,1628021917.26,27.45,LTE
34,1628021917.27,27.95,LTE
35,1628021917.28,28.2,LTE
36,1628021917.29,27.75,LTE
37,1628021917.3,27.65,LTE
38,1628021917.31,27.9,LTE
39,1628021917.32,28.0,LTE
40,1628021917.33,27.55,LTE
41,1628021917.34,27.2,LTE
42,1628021917.35,28.3,LTE
43,1628021917.36,28.15,LTE
44,1628021917.37,27.6,LTE
45,1628021917.38,28.15,LTE
46,1628021917.39,27.25,LTE
47,1628021917.4,27.0,LTE
48,1628021917.41,27.0,LTE
49,1628021917.42,27.45,LTE
50,1628021917.43,27.45,LTE
51,1628021917.44,27.3,LTE
52,1628021917.45,26.95,LTE
53,1628021917.46,26.9,LTE
54,1628021917.47,26.5,LTE
55,1628021917.48,26.200000000000003,LTE
56,1628021917.49,27.35,LTE
57,1628021917.5,27.85,LTE
58,1628021917.51,28.0,LTE
59,1628021917.52,27.75,LTE
60,1628021917.53,28.0,LTE
61,1628021917.54,26.799999999999997,LTE
62,1628021917.55,27.8,LTE
63,1628021917.56,28.2,LTE
64,1628021917.57,27.2,LTE
65,1628021917.58,27.6,LTE
66,1628021917.59,27.7,LTE
67,1628021917.6,27.5,LTE
68,1628021917.61,27.0,LTE
69,1628021917.62,27.5,LTE
70,1628021917.63,26.85,LTE
71,1628021917.64,26.9,LTE
72,1628021917.65,27.15,LTE
73,1628021917.66,28.35,LTE
74,1628021917.67,27.5,LTE
75,1628021917.68,26.55,LTE
76,1628021917.69,26.6,LTE
77,1628021917.7,27.25,LTE
78,1628021917.71,28.1,LTE
79,1628021917.72,27.9,LTE
80,1628021917.73,27.3,LTE
81,1628021917.74,26.65,LTE
82,1628021917.75,25.950000000000003,LTE
83,1628021917.76,26.5,LTE
84,1628021917.77,27.950000000000003,LTE
85,1628021917.78,27.35,LTE
86,1628021917.79,27.95,LTE
87,1628021917.8,27.1,LTE
88,1628021917.81,26.799999999999997,LTE
89,1628021917.82,26.200000000000003,LTE
90,1628021917.83,27.0,LTE
91,1628021917.84,26.65,LTE
92,1628021917.85,26.9,LTE
93,1628021917.86,27.1,LTE
94,1628021917.87,26.5,LTE
95,1628021917.88,26.450000000000003,LTE
96,1628021917.89,28.45,LTE
97,1628021917.9,26.75,LTE
98,1628021917.91,27.5,LTE
99,1628021917.92,27.15,LTE
100,1628021917.93,27.75,LTE
101,1628021917.94,27.75,LTE
102,1628021917.95,28.3,LTE
103,1628021917.96,29.049999999999997,LTE
104,1628021917.97,29.0,LTE
105,1628021917.98,28.95,LTE
106,1628021917.99,28.049999999999997,LTE
107,1628021918.0,27.95,LTE
108,1628021918.01,28.4,LTE
109,1628021918.02,28.45,LTE
110,1628021918.03,27.6,LTE
111,1628021918.04,27.5,LTE
112,1628021918.05,28.7,LTE
113,1628021918.06,28.0,LTE
114,1628021918.07,28.450000000000003,LTE
115,1628021918.08,27.0,LTE
116,1628021918.09,27.0,LTE
117,1628021918.1,28.200000000000003,LTE
118,1628021918.11,27.45,LTE
119,1628021918.12,27.05,LTE
120,1628021918.13,26.55,LTE
121,1628021918.14,26.45,LTE
122,1628021918.15,26.4,LTE
123,1628021918.16,27.95,LTE
124,1628021918.17,25.95,LTE
125,1628021918.18,26.55,LTE
126,1628021918.19,27.1,LTE
127,1628021918.2,26.85,LTE
128,1628021918.21,27.3,LTE
129,1628021918.22,27.35,LTE
130,1628021918.23,26.9,LTE
131,1628021918.24,27.35,LTE
132,1628021918.25,26.200000000000003,LTE
133,1628021918.26,27.1,LTE
134,1628021918.27,27.3,LTE
135,1628021918.28,25.9,LTE
136,1628021918.29,25.549999999999997,LTE
137,1628021918.3,25.200000000000003,LTE
138,1628021918.31,25.65,LTE
139,1628021918.32,25.4,LTE
140,1628021918.33,26.049999999999997,LTE
141,1628021918.34,26.4,LTE
142,1628021918.35,24.9,LTE
143,1628021918.36,24.35,LTE
144,1628021918.37,25.0,LTE
145,1628021918.38,26.7,LTE
146,1628021918.39,25.9,LTE
147,1628021918.4,26.85,LTE
148,1628021918.41,26.3,LTE
149,1628021918.42,26.45,LTE
150,1628021918.43,26.4,LTE
151,1628021918.44,26.25,LTE
152,1628021918.45,26.2,LTE
153,1628021918.46,26.8,LTE
154,1628021918.47,26.25,LTE
155,1628021918.48,25.7,LTE
156,1628021918.49,26.3,LTE
157,1628021918.5,25.3,LTE
158,1628021918.51,25.299999999999997,LTE
159,1628021918.52,25.049999999999997,LTE
160,1628021918.53,24.9,LTE
161,1628021918.54,25.25,LTE
162,1628021918.55,25.8,LTE
163,1628021918.56,25.3,LTE
