,TimeStamp,SNR,RAT
0,1628022051.605,28.7,LTE
1,1628022051.615,28.45,LTE
2,1628022051.625,28.25,LTE
3,1628022051.647,28.25,LTE
4,1628022051.655,27.1,LTE
5,1628022051.665,28.2,LTE
6,1628022051.675,28.75,LTE
7,1628022051.685,28.5,LTE
8,1628022051.695,27.3,LTE
9,1628022051.705,27.6,LTE
10,1628022051.727,27.15,LTE
11,1628022051.735,27.5,LTE
12,1628022051.745,27.8,LTE
13,1628022051.755,28.8,LTE
14,1628022051.765,27.85,LTE
15,1628022051.775,28.45,LTE
16,1628022051.785,27.25,LTE
17,1628022051.807,27.5,LTE
18,1628022051.815,27.6,LTE
19,1628022051.825,27.85,LTE
20,1628022051.835,27.0,LTE
21,1628022051.845,27.4,LTE
22,1628022051.855,26.75,LTE
23,1628022051.865,27.5,LTE
24,1628022051.887,27.6,LTE
25,1628022051.895,26.75,LTE
26,1628022051.905,27.35,LTE
27,1628022051.915,28.0,LTE
28,1628022051.925,26.55,LTE
29,1628022051.935,25.75,LTE
30,1628022051.945,26.85,LTE
31,1628022051.967,25.200000000000003,LTE
32,1628022051.975,28.799999999999997,LTE
33,1628022051.985,26.95,LTE
34,1628022051.995,28.3,LTE
35,1628022052.005,28.65,LTE
36,1628022052.015,27.049999999999997,LTE
37,1628022052.025,27.65,LTE
38,1628022052.047,25.05,LTE
39,1628022052.055,26.299999999999997,LTE
40,1628022052.065,27.15,LTE
41,1628022052.075,27.25,LTE
42,1628022052.085,26.2,LTE
43,1628022052.095,27.5,LTE
44,1628022052.105,27.55,LTE
45,1628022052.126,27.55,LTE
46,1628022052.135,27.4,LTE
47,1628022052.145,28.35,LTE
48,1628022052.155,28.15,LTE
49,1628022052.165,28.2,LTE
50,1628022052.175,27.75,LTE
51,1628022052.185,26.75,LTE
52,1628022052.207,27.05,LTE
53,1628022052.215,26.950000000000003,LTE
54,1628022052.225,27.2,LTE
55,1628022052.235,27.65,LTE
56,1628022052.245,27.55,LTE
57,1628022052.255,27.6,LTE
58,1628022052.265,28.35,LTE
59,1628022052.287,27.0,LTE
60,1628022052.295,26.65,LTE
61,1628022052.305,27.35,LTE
62,1628022052.315,27.55,LTE
63,1628022052.325,25.85,LTE
64,1628022052.335,27.55,LTE
65,1628022052.345,27.4,LTE
66,1628022052.367,27.65,LTE
67,1628022052.375,26.9,LTE
68,1628022052.385,27.65,LTE
69,1628022052.395,27.0,LTE
70,1628022052.405,27.9,LTE
71,1628022052.415,28.3,LTE
72,1628022052.425,28.35,LTE
73,1628022052.447,28.2,LTE
74,1628022052.455,28.05,LTE
75,1628022052.465,27.95,LTE
76,1628022052.475,28.25,LTE
77,1628022052.485,27.65,LTE
78,1628022052.495,25.299999999999997,LTE
79,1628022052.505,26.85,LTE
80,1628022052.526,26.85,LTE
81,1628022052.535,28.1,LTE
82,1628022052.545,28.45,LTE
83,1628022052.555,27.95,LTE
84,1628022052.565,27.85,LTE
85,1628022052.575,27.55,LTE
86,1628022052.585,28.05,LTE
87,1628022052.607,28.45,LTE
88,1628022052.615,28.45,LTE
89,1628022052.625,27.6,LTE
90,1628022052.635,27.8,LTE
91,1628022052.645,27.85,LTE
92,1628022052.655,27.5,LTE
93,1628022052.665,27.0,LTE
94,1628022052.687,28.8,LTE
95,1628022052.695,27.75,LTE
96,1628022052.705,27.85,LTE
97,1628022052.715,27.95,LTE
