,TimeStamp,SNR,RAT
0,1622344076.01,8.55,LTE
1,1622344077.291,11.100000000000001,LTE
2,1622344078.108,2.05,LTE
3,1622344078.115,0.5,LTE
4,1622344078.124,1.7,LTE
5,1622344078.134,-1.25,LTE
6,1622344078.145,0.35,LTE
7,1622344078.155,-0.9,LTE
8,1622344078.165,-1.9,LTE
9,1622344078.175,-1.9500000000000002,LTE
10,1622344078.184,-1.9000000000000001,LTE
11,1622344078.194,2.2,LTE
12,1622344078.205,3.0999999999999996,LTE
13,1622344078.215,4.9,LTE
14,1622344078.225,7.0,LTE
15,1622344078.235,7.3,LTE
16,1622344078.245,3.15,LTE
17,1622344078.254,2.1500000000000004,LTE
18,1622344078.264,2.95,LTE
19,1622344078.275,2.8499999999999996,LTE
20,1622344078.285,1.25,LTE
21,1622344078.295,1.05,LTE
22,1622344078.304,0.45000000000000007,LTE
23,1622344078.314,0.5,LTE
24,1622344078.324,1.1,LTE
25,1622344078.335,1.4,LTE
26,1622344078.344,0.75,LTE
27,1622344078.355,0.55,LTE
28,1622344078.364,0.45,LTE
29,1622344078.375,7.55,LTE
30,1622344078.384,5.65,LTE
31,1622344078.394,3.45,LTE
32,1622344078.404,-1.75,LTE
33,1622344078.414,-1.9500000000000002,LTE
34,1622344078.425,-2.7,LTE
35,1622344078.435,-2.25,LTE
36,1622344078.444,-2.3,LTE
37,1622344078.455,-2.8499999999999996,LTE
38,1622344078.464,-2.2,LTE
39,1622344078.474,-2.2,LTE
40,1622344078.484,-2.85,LTE
41,1622344078.494,-2.9,LTE
42,1622344078.505,-4.05,LTE
43,1622344078.515,-3.4,LTE
44,1622344078.524,-2.6500000000000004,LTE
45,1622344078.535,-2.5,LTE
46,1622344078.544,-4.25,LTE
47,1622344078.555,-3.1500000000000004,LTE
48,1622344078.564,-3.4,LTE
49,1622344078.574,-2.7,LTE
50,1622344078.584,-2.45,LTE
51,1622344078.594,-2.1,LTE
52,1622344078.604,-0.8,LTE
53,1622344078.614,-1.0,LTE
54,1622344078.625,-0.39999999999999997,LTE
55,1622344078.635,-1.35,LTE
56,1622344078.644,-0.3999999999999999,LTE
57,1622344078.654,-1.6,LTE
58,1622344078.665,-1.3499999999999999,LTE
59,1622344078.674,-1.2000000000000002,LTE
60,1622344078.684,-1.4000000000000001,LTE
61,1622344078.695,-2.2,LTE
62,1622344078.704,-1.65,LTE
63,1622344078.714,-3.9499999999999997,LTE
64,1622344078.725,-3.5999999999999996,LTE
65,1622344078.735,-2.15,LTE
66,1622344078.745,-2.5,LTE
67,1622344078.755,-2.9,LTE
68,1622344078.764,-2.75,LTE
69,1622344078.775,-0.95,LTE
70,1622344078.784,1.0,LTE
71,1622344078.795,2.05,LTE
72,1622344078.804,3.55,LTE
73,1622344078.814,3.75,LTE
74,1622344078.824,4.2,LTE
75,1622344078.834,6.0,LTE
76,1622344078.844,6.65,LTE
77,1622344078.855,4.45,LTE
78,1622344078.864,5.65,LTE
79,1622344078.875,8.5,LTE
80,1622344078.884,5.800000000000001,LTE
81,1622344078.894,3.25,LTE
82,1622344078.905,4.9,LTE
83,1622344078.914,5.5,LTE
84,1622344078.924,2.9,LTE
85,1622344078.935,2.25,LTE
86,1622344078.945,1.3,LTE
87,1622344078.954,0.85,LTE
88,1622344078.964,-0.55,LTE
89,1622344078.974,-1.55,LTE
90,1622344078.984,-0.6499999999999999,LTE
91,1622344078.995,-0.65,LTE
92,1622344079.005,0.8,LTE
93,1622344079.015,0.15,LTE
94,1622344079.024,-1.45,LTE
95,1622344079.035,-0.5,LTE
96,1622344079.044,-0.55,LTE
97,1622344079.055,-0.5499999999999999,LTE
98,1622344079.064,-3.25,LTE
99,1622344079.075,-0.95,LTE
100,1622344079.084,-0.45000000000000007,LTE
101,1622344079.094,-0.35,LTE
102,1622344079.106,-0.09999999999999998,LTE
103,1622344079.115,0.2,LTE
104,1622344079.124,1.25,LTE
105,1622344079.134,2.2,LTE
106,1622344079.144,-0.45000000000000007,LTE
107,1622344079.154,-0.4,LTE
108,1622344079.164,-0.8,LTE
109,1622344079.175,-0.5,LTE
110,1622344079.184,-1.0499999999999998,LTE
111,1622344079.194,-0.4,LTE
112,1622344079.204,-3.2,LTE
113,1622344079.214,0.5,LTE
114,1622344079.225,-0.19999999999999996,LTE
115,1622344079.234,-2.3,LTE
116,1622344079.244,0.4,LTE
117,1622344079.255,2.9,LTE
118,1622344079.264,-0.15000000000000013,LTE
119,1622344079.275,0.050000000000000044,LTE
120,1622344079.284,2.8,LTE
121,1622344079.294,0.30000000000000004,LTE
122,1622344079.304,-2.0999999999999996,LTE
123,1622344079.314,0.3500000000000001,LTE
124,1622344079.325,1.0999999999999999,LTE
125,1622344079.335,-0.3999999999999999,LTE
126,1622344079.344,-2.0,LTE
127,1622344079.354,1.35,LTE
128,1622344079.364,1.9500000000000002,LTE
129,1622344079.374,0.7,LTE
130,1622344079.385,-0.09999999999999998,LTE
131,1622344079.395,-0.1499999999999999,LTE
132,1622344079.405,0.75,LTE
133,1622344079.415,1.95,LTE
134,1622344079.425,-0.45,LTE
135,1622344079.435,-1.65,LTE
136,1622344079.444,-0.3999999999999999,LTE
137,1622344079.454,-0.85,LTE
138,1622344079.464,-2.3,LTE
139,1622344079.475,-0.9,LTE
