,TimeStamp,SNR,RAT
0,1622341167.853,2.9000000000000004,LTE
1,1622341167.893,3.2,LTE
2,1622341167.933,0.75,LTE
3,1622341167.973,2.45,LTE
4,1622341168.014,2.3,LTE
5,1622341168.053,5.15,LTE
6,1622341168.093,2.95,LTE
7,1622341168.133,2.8,LTE
8,1622341168.173,1.4,LTE
9,1622341168.213,-0.2499999999999999,LTE
10,1622341168.253,3.2,LTE
11,1622341168.293,1.3,LTE
12,1622341168.333,2.1,LTE
13,1622341168.373,-1.6,LTE
14,1622341168.413,0.95,LTE
15,1622341168.453,2.0999999999999996,LTE
16,1622341168.493,-1.15,LTE
17,1622341168.533,-0.55,LTE
18,1622341168.573,1.0500000000000003,LTE
19,1622341168.613,0.15000000000000002,LTE
20,1622341168.654,1.5,LTE
21,1622341168.693,0.15000000000000002,LTE
22,1622341168.733,0.34999999999999987,LTE
23,1622341168.773,0.8,LTE
24,1622341168.813,1.3,LTE
25,1622341168.853,2.5,LTE
26,1622341168.893,-0.75,LTE
27,1622341168.933,2.65,LTE
28,1622341168.973,3.0999999999999996,LTE
29,1622341169.013,1.4,LTE
30,1622341169.053,1.2,LTE
31,1622341169.093,-1.9000000000000001,LTE
32,1622341169.133,1.65,LTE
33,1622341169.173,3.45,LTE
34,1622341169.213,2.25,LTE
35,1622341169.253,2.4,LTE
36,1622341169.294,1.65,LTE
37,1622341169.333,4.1,LTE
38,1622341169.373,1.25,LTE
39,1622341169.413,3.65,LTE
40,1622341169.453,-0.5,LTE
41,1622341169.493,2.25,LTE
42,1622341169.533,-0.8999999999999999,LTE
43,1622341169.573,3.0,LTE
44,1622341169.613,2.35,LTE
45,1622341169.653,3.05,LTE
46,1622341169.693,3.25,LTE
47,1622341169.733,2.8,LTE
48,1622341169.773,2.2,LTE
49,1622341169.813,3.6999999999999997,LTE
50,1622341169.853,2.85,LTE
51,1622341169.893,1.45,LTE
52,1622341169.931,4.6,LTE
53,1622341169.974,2.85,LTE
