,TimeStamp,SNR,RAT
0,1627882175.038,28.65,LTE
1,1627882175.058,28.8,LTE
2,1627882175.078,28.25,LTE
3,1627882175.098,26.75,LTE
4,1627882175.118,26.799999999999997,LTE
5,1627882175.138,25.299999999999997,LTE
6,1627882175.158,25.2,LTE
7,1627882175.178,26.6,LTE
8,1627882175.199,28.15,LTE
9,1627882175.218,29.05,LTE
10,1627882175.238,28.7,LTE
11,1627882175.258,28.75,LTE
12,1627882175.278,28.75,LTE
13,1627882175.298,29.1,LTE
14,1627882175.318,28.9,LTE
15,1627882175.338,28.95,LTE
16,1627882175.358,28.6,LTE
17,1627882175.378,28.6,LTE
18,1627882175.398,28.7,LTE
19,1627882175.418,27.65,LTE
20,1627882175.438,28.450000000000003,LTE
21,1627882175.458,29.3,LTE
22,1627882175.478,30.0,LTE
23,1627882175.498,29.75,LTE
24,1627882175.518,29.3,LTE
25,1627882175.538,29.3,LTE
26,1627882175.545,28.85,LTE
27,1627882175.556,29.5,LTE
28,1627882175.565,29.200000000000003,LTE
29,1627882175.575,29.4,LTE
30,1627882175.585,29.2,LTE
31,1627882175.595,29.85,LTE
32,1627882175.605,29.65,LTE
33,1627882175.615,29.65,LTE
34,1627882175.625,29.6,LTE
35,1627882175.635,29.25,LTE
36,1627882175.645,29.1,LTE
37,1627882175.655,29.700000000000003,LTE
38,1627882175.665,29.35,LTE
39,1627882175.675,29.450000000000003,LTE
40,1627882175.685,30.0,LTE
41,1627882175.695,30.0,LTE
42,1627882175.705,29.6,LTE
43,1627882175.715,29.75,LTE
44,1627882175.725,30.0,LTE
45,1627882175.735,29.95,LTE
46,1627882175.745,29.65,LTE
47,1627882175.755,29.95,LTE
48,1627882175.765,29.6,LTE
49,1627882175.775,29.3,LTE
50,1627882175.785,29.2,LTE
51,1627882175.795,29.0,LTE
52,1627882175.805,29.95,LTE
53,1627882175.815,29.5,LTE
54,1627882175.825,28.25,LTE
55,1627882175.835,29.5,LTE
56,1627882175.845,29.45,LTE
57,1627882175.855,29.6,LTE
58,1627882175.865,30.0,LTE
59,1627882175.875,28.95,LTE
60,1627882175.885,29.2,LTE
61,1627882175.895,28.6,LTE
62,1627882175.905,29.8,LTE
