,TimeStamp,SNR,RAT
0,1627881744.756,-6.699999999999999,LTE
1,1627881744.766,-6.949999999999999,LTE
2,1627881744.776,-10.2,LTE
3,1627881744.786,-10.025,LTE
4,1627881744.796,-9.75,LTE
5,1627881744.806,-9.175,LTE
6,1627881744.816,-9.275,LTE
7,1627881744.826,-8.2,LTE
8,1627881744.836,-8.75,LTE
9,1627881744.846,-11.049999999999999,LTE
10,1627881744.856,-10.075,LTE
11,1627881744.866,-10.475,LTE
12,1627881744.876,-9.775,LTE
13,1627881744.886,-10.05,LTE
14,1627881744.896,-9.85,LTE
15,1627881744.906,-9.675,LTE
16,1627881744.916,-10.475000000000001,LTE
17,1627881744.936,-7.975,LTE
18,1627881744.946,-10.15,LTE
19,1627881744.956,-9.925,LTE
20,1627881744.966,-7.1,LTE
21,1627881744.976,-9.125,LTE
22,1627881744.986,-9.375,LTE
23,1627881744.996,-10.100000000000001,LTE
24,1627881745.006,-9.3,LTE
25,1627881745.016,-9.025,LTE
26,1627881745.026,-10.5,LTE
27,1627881745.036,-10.925,LTE
28,1627881745.046,-9.275,LTE
29,1627881745.056,-9.725000000000001,LTE
30,1627881745.066,-9.475,LTE
31,1627881745.076,-10.5,LTE
32,1627881745.086,-9.175,LTE
33,1627881745.096,-10.475,LTE
34,1627881745.106,-9.675,LTE
35,1627881745.116,-10.45,LTE
36,1627881745.126,-8.375,LTE
37,1627881745.136,-11.85,LTE
38,1627881745.146,-9.149999999999999,LTE
39,1627881745.156,-9.7,LTE
40,1627881745.166,-8.225000000000001,LTE
41,1627881745.176,-11.35,LTE
42,1627881745.186,-9.725,LTE
43,1627881745.196,-10.875,LTE
44,1627881745.206,-10.024999999999999,LTE
45,1627881745.216,-9.925,LTE
46,1627881745.226,-10.399999999999999,LTE
47,1627881745.236,-11.525,LTE
48,1627881745.258,-7.300000000000001,LTE
49,1627881745.307,-9.5,LTE
50,1627881745.317,-8.100000000000001,LTE
51,1627881745.327,-8.75,LTE
52,1627881745.337,-8.55,LTE
53,1627881745.347,-8.2,LTE
54,1627881745.357,-6.699999999999999,LTE
55,1627881745.367,-3.0250000000000004,LTE
56,1627881745.377,-8.25,LTE
57,1627881745.388,-9.275,LTE
58,1627881745.397,-8.45,LTE
59,1627881745.408,-4.025,LTE
60,1627881745.417,-9.95,LTE
61,1627881745.427,-9.65,LTE
62,1627881745.437,-7.8999999999999995,LTE
63,1627881745.447,-5.2,LTE
64,1627881745.457,-8.125,LTE
65,1627881745.467,-5.4,LTE
66,1627881745.477,-5.2,LTE
67,1627881745.487,-4.325,LTE
68,1627881745.497,-6.625,LTE
69,1627881745.507,-7.425,LTE
70,1627881745.517,-6.625,LTE
71,1627881745.527,-6.975,LTE
