,TimeStamp,SNR,RAT
0,1626321132.0,17.95,LTE
1,1626321132.01,18.4,LTE
2,1626321132.02,19.15,LTE
3,1626321132.03,18.4,LTE
4,1626321132.04,19.55,LTE
5,1626321132.05,18.15,LTE
6,1626321132.06,18.200000000000003,LTE
7,1626321132.07,18.35,LTE
8,1626321132.08,17.85,LTE
9,1626321132.09,17.75,LTE
10,1626321132.1,18.55,LTE
11,1626321132.11,18.25,LTE
12,1626321132.12,18.35,LTE
13,1626321132.13,17.65,LTE
14,1626321132.14,16.5,LTE
15,1626321132.15,16.25,LTE
16,1626321132.16,16.4,LTE
17,1626321132.18,16.7,LTE
18,1626321132.19,17.75,LTE
19,1626321132.2,18.1,LTE
20,1626321132.21,17.6,LTE
21,1626321132.22,18.0,LTE
22,1626321132.23,18.05,LTE
23,1626321132.24,18.1,LTE
24,1626321132.25,18.700000000000003,LTE
25,1626321132.26,19.25,LTE
26,1626321132.27,18.5,LTE
27,1626321132.28,18.6,LTE
28,1626321132.29,18.05,LTE
29,1626321132.3,17.950000000000003,LTE
30,1626321132.31,18.799999999999997,LTE
31,1626321132.32,18.9,LTE
32,1626321132.33,19.55,LTE
33,1626321132.34,19.45,LTE
34,1626321132.35,20.049999999999997,LTE
35,1626321132.36,20.1,LTE
36,1626321132.37,19.55,LTE
37,1626321132.38,21.15,LTE
38,1626321132.39,20.3,LTE
39,1626321132.4,19.9,LTE
40,1626321132.41,19.3,LTE
41,1626321132.42,20.049999999999997,LTE
42,1626321132.43,19.85,LTE
43,1626321132.44,18.9,LTE
44,1626321132.45,19.65,LTE
45,1626321132.46,20.65,LTE
46,1626321132.47,19.3,LTE
47,1626321132.48,19.9,LTE
48,1626321132.49,20.4,LTE
49,1626321132.5,20.15,LTE
50,1626321132.51,20.2,LTE
51,1626321132.52,21.25,LTE
52,1626321132.53,19.9,LTE
53,1626321132.54,18.65,LTE
54,1626321132.55,19.35,LTE
55,1626321132.56,18.35,LTE
56,1626321132.57,18.45,LTE
57,1626321132.58,17.1,LTE
58,1626321132.59,19.3,LTE
59,1626321132.6,18.4,LTE
60,1626321132.61,18.7,LTE
61,1626321132.62,17.15,LTE
62,1626321132.63,16.9,LTE
63,1626321132.64,17.5,LTE
64,1626321132.65,18.35,LTE
65,1626321132.66,17.15,LTE
66,1626321132.67,17.65,LTE
67,1626321132.68,17.3,LTE
68,1626321132.69,16.2,LTE
69,1626321132.7,17.0,LTE
70,1626321132.71,16.9,LTE
71,1626321132.72,17.6,LTE
72,1626321132.73,16.5,LTE
73,1626321132.74,16.05,LTE
74,1626321132.75,16.65,LTE
75,1626321132.76,16.85,LTE
76,1626321132.77,17.15,LTE
77,1626321132.78,17.35,LTE
78,1626321132.79,17.1,LTE
79,1626321132.8,17.15,LTE
80,1626321132.81,17.25,LTE
81,1626321132.82,17.1,LTE
82,1626321132.83,17.5,LTE
83,1626321132.84,18.65,LTE
84,1626321132.85,18.1,LTE
85,1626321132.86,18.1,LTE
86,1626321132.87,16.75,LTE
87,1626321132.88,18.549999999999997,LTE
88,1626321132.89,19.1,LTE
89,1626321132.9,17.45,LTE
90,1626321132.91,19.1,LTE
91,1626321132.92,17.75,LTE
92,1626321132.93,19.25,LTE
93,1626321132.94,17.35,LTE
94,1626321132.95,19.0,LTE
95,1626321132.96,18.65,LTE
96,1626321132.97,19.5,LTE
97,1626321132.98,16.95,LTE
