,TimeStamp,SNR,RAT
0,1626320442.864,15.149999999999999,LTE
1,1626320444.144,12.5,LTE
2,1626320445.424,10.4,LTE
3,1626320446.127,3.0500000000000003,LTE
4,1626320446.134,4.05,LTE
5,1626320446.144,5.75,LTE
6,1626320446.154,4.65,LTE
7,1626320446.164,8.2,LTE
8,1626320446.174,8.05,LTE
9,1626320446.184,7.95,LTE
10,1626320446.194,6.9,LTE
11,1626320446.204,9.25,LTE
12,1626320446.214,8.7,LTE
13,1626320446.224,9.7,LTE
14,1626320446.234,6.5,LTE
15,1626320446.244,7.65,LTE
16,1626320446.254,8.5,LTE
17,1626320446.264,10.1,LTE
18,1626320446.274,11.15,LTE
19,1626320446.284,8.4,LTE
20,1626320446.294,7.2,LTE
21,1626320446.304,7.4,LTE
22,1626320446.314,4.45,LTE
23,1626320446.324,6.85,LTE
24,1626320446.334,6.800000000000001,LTE
25,1626320446.344,8.75,LTE
26,1626320446.354,8.1,LTE
27,1626320446.364,7.7,LTE
28,1626320446.374,7.7,LTE
29,1626320446.384,7.25,LTE
30,1626320446.394,6.75,LTE
31,1626320446.404,8.7,LTE
32,1626320446.414,10.7,LTE
33,1626320446.424,12.05,LTE
34,1626320446.434,9.05,LTE
35,1626320446.445,13.2,LTE
36,1626320446.454,9.9,LTE
37,1626320446.464,12.35,LTE
38,1626320446.474,7.8999999999999995,LTE
39,1626320446.484,13.5,LTE
40,1626320446.494,8.95,LTE
41,1626320446.504,10.95,LTE
42,1626320446.514,7.9,LTE
43,1626320446.524,10.6,LTE
44,1626320446.534,6.8,LTE
45,1626320446.544,8.649999999999999,LTE
46,1626320446.554,5.949999999999999,LTE
47,1626320446.564,11.85,LTE
48,1626320446.574,7.95,LTE
49,1626320446.584,7.2,LTE
50,1626320446.594,8.55,LTE
51,1626320446.604,8.45,LTE
52,1626320446.614,5.05,LTE
53,1626320446.624,7.45,LTE
54,1626320446.634,6.9,LTE
55,1626320446.644,7.0,LTE
56,1626320446.654,5.25,LTE
57,1626320446.664,10.45,LTE
58,1626320446.674,8.2,LTE
59,1626320446.684,12.45,LTE
60,1626320446.694,10.2,LTE
61,1626320446.704,12.7,LTE
62,1626320446.714,11.05,LTE
63,1626320446.724,11.0,LTE
64,1626320446.734,7.05,LTE
65,1626320446.744,7.4,LTE
66,1626320446.754,3.8,LTE
67,1626320446.764,9.4,LTE
68,1626320446.774,12.05,LTE
69,1626320446.784,10.649999999999999,LTE
70,1626320446.794,6.1,LTE
71,1626320446.804,10.2,LTE
72,1626320446.814,9.55,LTE
73,1626320446.824,14.3,LTE
74,1626320446.834,10.149999999999999,LTE
75,1626320446.844,12.75,LTE
76,1626320446.854,10.899999999999999,LTE
77,1626320446.864,12.6,LTE
78,1626320446.874,11.8,LTE
79,1626320446.884,15.3,LTE
80,1626320446.894,12.2,LTE
81,1626320446.904,15.15,LTE
82,1626320446.914,12.2,LTE
83,1626320446.924,16.45,LTE
84,1626320446.934,13.05,LTE
85,1626320446.944,15.3,LTE
86,1626320446.954,12.55,LTE
87,1626320446.964,16.9,LTE
88,1626320446.974,14.85,LTE
89,1626320446.984,16.3,LTE
90,1626320446.994,16.75,LTE
91,1626320447.004,13.85,LTE
92,1626320447.014,11.15,LTE
93,1626320447.024,13.25,LTE
94,1626320447.034,11.100000000000001,LTE
95,1626320447.044,15.649999999999999,LTE
96,1626320447.054,14.5,LTE
97,1626320447.064,12.1,LTE
98,1626320447.074,14.649999999999999,LTE
99,1626320447.085,14.0,LTE
100,1626320447.094,11.65,LTE
101,1626320447.104,12.5,LTE
102,1626320447.114,10.7,LTE
103,1626320447.124,12.600000000000001,LTE
104,1626320447.134,11.15,LTE
105,1626320447.144,13.899999999999999,LTE
106,1626320447.154,8.75,LTE
107,1626320447.164,9.1,LTE
108,1626320447.174,6.4,LTE
109,1626320447.184,12.15,LTE
110,1626320447.194,10.05,LTE
111,1626320447.204,15.25,LTE
112,1626320447.214,13.3,LTE
113,1626320447.224,13.899999999999999,LTE
114,1626320447.234,11.8,LTE
115,1626320447.245,13.2,LTE
116,1626320447.254,9.75,LTE
117,1626320447.264,11.149999999999999,LTE
118,1626320447.274,9.15,LTE
119,1626320447.284,14.149999999999999,LTE
120,1626320447.294,8.25,LTE
121,1626320447.304,11.7,LTE
122,1626320447.314,12.15,LTE
123,1626320447.324,15.149999999999999,LTE
124,1626320447.334,15.45,LTE
125,1626320447.344,18.0,LTE
126,1626320447.354,15.5,LTE
127,1626320447.364,15.2,LTE
128,1626320447.374,14.5,LTE
129,1626320447.384,18.2,LTE
130,1626320447.394,16.700000000000003,LTE
131,1626320447.404,17.5,LTE
132,1626320447.414,13.2,LTE
133,1626320447.424,14.799999999999999,LTE
